Crop_Dimension, Corelation 
100,0.848466833193
150,0.851321187111
200,0.852622103805
250,0.853576424011
300,0.854078233351
350,0.853078084526
400,0.8507383793
450,0.847385910376
500,0.843595320875
550,0.839980205541
600,0.836894970711
650,0.833847967743
700,0.830972668464
750,0.828243531102
800,0.825248492289
850,0.822097872654
900,0.818934925888
950,0.815922825822
1000,0.813328138629
1050,0.811148546598
1100,0.809316545722
1150,0.807813545305
1200,0.806640258493
