Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:11,07:00:02,1012.0,3683.0,9512.9234668
1,2015:12:11,07:02:03,905.0,3542.0,5452.1161808
2,2015:12:11,07:04:03,941.0,3567.0,7653.73584667
3,2015:12:11,07:06:02,987.0,3626.0,9360.65846511
4,2015:12:11,07:08:03,923.0,3574.0,9660.50337567
5,2015:12:11,07:10:02,933.0,3590.0,11635.4399455
6,2015:12:11,07:12:03,932.0,3603.0,11937.5677863
7,2015:12:11,07:14:02,897.0,3591.0,15912.5874741
8,2015:12:11,07:16:02,886.0,3582.0,16127.6437093
9,2015:12:11,07:18:02,923.0,3607.0,16386.5073435
10,2015:12:11,07:20:02,958.0,3635.0,20126.1016327
11,2015:12:11,07:22:02,1014.0,3666.0,19741.0983798
12,2015:12:11,07:24:02,1045.0,3685.0,23975.5557933
13,2015:12:11,07:26:03,1011.0,3675.0,24188.48808
14,2015:12:11,07:28:02,963.0,3651.0,24461.3018836
15,2015:12:11,07:30:03,844.0,3472.0,32524.6119961
16,2015:12:11,07:32:02,805.0,3508.0,33526.3593166
17,2015:12:11,07:34:03,790.0,3501.0,34713.247205
18,2015:12:11,07:36:03,794.0,3509.0,34717.6575093
19,2015:12:11,07:38:02,739.0,3438.0,33712.80967
20,2015:12:11,07:40:03,681.0,3360.0,33622.6613085
21,2015:12:11,07:42:02,665.0,3333.0,32986.1312765
22,2015:12:11,07:44:02,661.0,3322.0,26491.9077281
23,2015:12:11,07:46:03,660.0,3331.0,26811.6683961
24,2015:12:11,07:48:02,638.0,3328.0,32686.4127968
25,2015:12:11,07:50:02,661.0,3331.0,33629.2416021
26,2015:12:11,07:52:02,677.0,3373.0,30422.7500277
27,2015:12:11,07:54:03,635.0,3356.0,34304.8653378
28,2015:12:11,07:56:02,583.0,3293.0,32702.40134
29,2015:12:11,07:58:03,577.0,3274.0,31654.8628231
30,2015:12:11,08:00:01,603.695652174,3286.91304348,91465.4025421
31,2015:12:11,08:02:02,630.391304348,3299.82608696,3989.32590311
32,2015:12:11,08:04:01,657.086956522,3312.73913043,4419.58520711
33,2015:12:11,08:06:01,683.782608696,3325.65217391,4240.53559511
34,2015:12:11,08:08:02,710.47826087,3338.56521739,4189.55625444
35,2015:12:11,08:10:01,737.173913043,3351.47826087,4201.95616889
36,2015:12:11,08:12:01,763.869565217,3364.39130435,4880.285152
37,2015:12:11,08:14:01,790.565217391,3377.30434783,4692.60960498
38,2015:12:11,08:16:01,817.260869565,3390.2173913,4965.35241458
39,2015:12:11,08:18:01,843.956521739,3403.13043478,6357.199816
40,2015:12:11,08:20:02,870.652173913,3416.04347826,5491.84074667
41,2015:12:11,08:22:02,897.347826087,3428.95652174,5405.37246222
42,2015:12:11,08:24:02,924.043478261,3441.86956522,6097.61049066
43,2015:12:11,08:26:02,950.739130435,3454.7826087,6160.72684177
44,2015:12:11,08:28:01,977.434782609,3467.69565217,6789.71772533
45,2015:12:11,08:30:02,1004.13043478,3480.60869565,8945.65345066
46,2015:12:11,08:32:01,1030.82608696,3493.52173913,10399.702864
47,2015:12:11,08:34:02,1057.52173913,3506.43478261,13006.9173822
48,2015:12:11,08:36:02,1084.2173913,3519.34782609,13706.4261333
49,2015:12:11,08:38:02,1110.91304348,3532.26086957,11519.1343255
50,2015:12:11,08:40:02,1137.60869565,3545.17391304,11788.7967533
51,2015:12:11,08:42:01,1164.30434783,3558.08695652,11209.6762967
52,2015:12:11,08:44:02,1191.0,3571.0,17128.0855356
53,2015:12:11,08:46:01,1189.88888889,3564.88888889,18363.2670178
54,2015:12:11,08:48:02,1188.77777778,3558.77777778,16081.7566833
55,2015:12:11,08:50:01,1187.66666667,3552.66666667,16860.2859067
56,2015:12:11,08:52:01,1186.55555556,3546.55555556,23007.9216384
57,2015:12:11,08:54:01,1185.44444444,3540.44444444,29997.8794347
58,2015:12:11,08:56:01,1184.33333333,3534.33333333,32972.2469422
59,2015:12:11,08:58:01,1183.22222222,3528.22222222,40951.5611413
60,2015:12:11,09:00:01,1182.11111111,3522.11111111,35947.97104
61,2015:12:11,09:02:01,1181.0,3516.0,33272.3678293
62,2015:12:11,09:04:02,1150.0,3478.0,49466.2971165
63,2015:12:11,09:06:01,1168.0,3484.0,54339.47936
64,2015:12:11,09:08:02,1118.0,3485.0,68927.0042115
65,2015:12:11,09:10:01,1138.5,3474.0,42021.7243965
66,2015:12:11,09:12:02,1159.0,3463.0,35615.6765938
67,2015:12:11,09:14:01,1179.5,3452.0,32627.8371925
68,2015:12:11,09:16:01,1200.0,3441.0,58425.4674933
69,2015:12:11,09:18:01,1143.0,3403.0,87109.9365742
70,2015:12:11,09:20:01,1133.0,3404.0,81188.6505902
71,2015:12:11,09:22:01,1173.0,3375.0,71161.0145102
72,2015:12:11,09:24:01,1172.0,3408.0,82039.90478
73,2015:12:11,09:26:01,1163.0,3392.0,79357.8678844
74,2015:12:11,09:28:01,1154.0,3376.0,124024.655783
75,2015:12:11,09:30:01,1198.0,3373.0,158630.311292
76,2015:12:11,09:32:01,1175.0,3371.0,148482.968156
77,2015:12:11,09:34:02,1189.0,3375.0,125998.601839
78,2015:12:11,09:36:01,1175.0,3335.0,80767.1505861
79,2015:12:11,09:38:02,1175.06779661,3332.83050847,57290.7565944
80,2015:12:11,09:40:01,1175.13559322,3330.66101695,44566.5484222
81,2015:12:11,09:42:01,1175.20338983,3328.49152542,30510.7063396
82,2015:12:11,09:44:02,1175.27118644,3326.3220339,25897.5463307
83,2015:12:11,09:46:01,1175.33898305,3324.15254237,23501.1856711
84,2015:12:11,09:48:01,1175.40677966,3321.98305085,26619.5050489
85,2015:12:11,09:50:01,1175.47457627,3319.81355932,24447.7030916
86,2015:12:11,09:52:02,1175.54237288,3317.6440678,23625.3079253
87,2015:12:11,09:54:01,1175.61016949,3315.47457627,27867.8433844
88,2015:12:11,09:56:01,1175.6779661,3313.30508475,29534.0862489
89,2015:12:11,09:58:01,1175.74576271,3311.13559322,28718.0510689
90,2015:12:11,10:00:02,1175.81355932,3308.96610169,31742.1307089
91,2015:12:11,10:00:22,1175.88135593,3306.79661017,32054.1063089
92,2015:12:11,10:00:42,1175.94915254,3304.62711864,34298.2558178
93,2015:12:11,10:01:01,1176.01694915,3302.45762712,35024.9526911
94,2015:12:11,10:01:21,1176.08474576,3300.28813559,36649.24112
95,2015:12:11,10:01:41,1176.15254237,3298.11864407,36828.8761978
96,2015:12:11,10:02:01,1176.22033898,3295.94915254,36684.4576978
97,2015:12:11,10:02:21,1176.28813559,3293.77966102,36841.3199844
98,2015:12:11,10:02:41,1176.3559322,3291.61016949,38628.0449378
99,2015:12:11,10:03:01,1176.42372881,3289.44067797,40378.0314
100,2015:12:11,10:03:21,1176.49152542,3287.27118644,41440.5120911
101,2015:12:11,10:03:41,1176.55932203,3285.10169492,44476.7282867
102,2015:12:11,10:04:01,1176.62711864,3282.93220339,46327.2515533
103,2015:12:11,10:04:21,1176.69491525,3280.76271186,56232.7450778
104,2015:12:11,10:04:41,1176.76271186,3278.59322034,51360.3809356
105,2015:12:11,10:05:01,1176.83050847,3276.42372881,54326.1730556
106,2015:12:11,10:05:22,1176.89830508,3274.25423729,54862.7714444
107,2015:12:11,10:05:41,1176.96610169,3272.08474576,56689.0715933
108,2015:12:11,10:06:00,1177.03389831,3269.91525424,57130.7821578
109,2015:12:11,10:06:20,1177.10169492,3267.74576271,55909.1587511
110,2015:12:11,10:06:40,1177.16949153,3265.57627119,53882.8798156
111,2015:12:11,10:07:01,1177.23728814,3263.40677966,53386.77744
112,2015:12:11,10:07:21,1177.30508475,3261.23728814,51962.52982
113,2015:12:11,10:07:41,1177.37288136,3259.06779661,50675.6340289
114,2015:12:11,10:08:01,1177.44067797,3256.89830508,50083.7094578
115,2015:12:11,10:08:21,1177.50847458,3254.72881356,48576.7830755
116,2015:12:11,10:08:41,1177.57627119,3252.55932203,48094.4303133
117,2015:12:11,10:09:01,1177.6440678,3250.38983051,47940.3681244
118,2015:12:11,10:09:22,1177.71186441,3248.22033898,48259.4730378
119,2015:12:11,10:09:42,1177.77966102,3246.05084746,57591.8819139
120,2015:12:11,10:10:01,1177.84745763,3243.88135593,56973.0747833
121,2015:12:11,10:10:22,1177.91525424,3241.71186441,56767.7910972
122,2015:12:11,10:10:42,1177.98305085,3239.54237288,54628.9092944
123,2015:12:11,10:11:01,1178.05084746,3237.37288136,54597.1065194
124,2015:12:11,10:11:21,1178.11864407,3235.20338983,51752.7172139
125,2015:12:11,10:11:41,1178.18644068,3233.03389831,53135.3436972
126,2015:12:11,10:12:01,1178.25423729,3230.86440678,52795.0015611
127,2015:12:11,10:12:21,1178.3220339,3228.69491525,54918.4284417
128,2015:12:11,10:12:41,1178.38983051,3226.52542373,56613.0885444
129,2015:12:11,10:13:02,1178.45762712,3224.3559322,55632.5974944
130,2015:12:11,10:13:21,1178.52542373,3222.18644068,59486.6045778
131,2015:12:11,10:13:41,1178.59322034,3220.01694915,62907.5862805
132,2015:12:11,10:14:01,1178.66101695,3217.84745763,72345.130575
133,2015:12:11,10:14:21,1178.72881356,3215.6779661,74176.7353805
134,2015:12:11,10:14:41,1178.79661017,3213.50847458,84180.8743555
135,2015:12:11,10:15:01,1178.86440678,3211.33898305,92157.4636639
136,2015:12:11,10:15:21,1178.93220339,3209.16949153,103058.888267
137,2015:12:11,10:15:41,1179.0,3207.0,113349.314308
138,2015:12:11,10:16:01,1256.0,3212.0,134526.361803
139,2015:12:11,10:16:21,1238.0,3203.0,178925.125817
140,2015:12:11,10:16:41,1232.0,3199.0,190577.588345
141,2015:12:11,10:17:02,1228.0,3207.0,196681.887769
142,2015:12:11,10:17:22,1220.0,3202.0,205394.369266
143,2015:12:11,10:17:42,1222.0,3193.0,202357.723975
144,2015:12:11,10:18:01,1199.0,3207.0,188068.906354
145,2015:12:11,10:18:21,1219.0,3193.0,204587.589365
146,2015:12:11,10:18:41,1208.0,3193.0,220703.248512
147,2015:12:11,10:19:01,1209.0,3195.0,225822.167207
148,2015:12:11,10:19:21,1207.0,3190.0,225226.078222
149,2015:12:11,10:19:41,1204.0,3182.0,228438.61979
150,2015:12:11,10:20:01,1211.0,3186.0,224083.231822
151,2015:12:11,10:22:01,1204.0,3182.0,220902.709355
152,2015:12:11,10:24:01,1208.0,3174.0,211044.380299
153,2015:12:11,10:26:01,1216.0,3164.0,217065.416171
154,2015:12:11,10:28:01,1209.0,3155.0,211902.504683
155,2015:12:11,10:30:02,1209.0,3150.0,211713.300519
156,2015:12:11,10:32:01,1217.0,3139.0,216929.494492
157,2015:12:11,10:34:01,1219.0,3126.0,179601.0248
158,2015:12:11,10:36:01,1221.0,3132.0,196774.723534
159,2015:12:11,10:38:01,1232.0,3118.0,193485.702297
160,2015:12:11,10:40:01,1221.0,3103.0,208684.234546
161,2015:12:11,10:42:01,1231.0,3103.0,223943.2585
162,2015:12:11,10:44:01,1248.0,3084.0,201126.531115
163,2015:12:11,10:46:01,1234.0,3083.0,151873.619474
164,2015:12:11,10:48:01,1238.0,3076.0,245980.899744
165,2015:12:11,10:50:01,1241.0,3077.0,206536.782268
166,2015:12:11,10:52:01,1239.0,3051.0,217716.074411
167,2015:12:11,10:54:01,1242.0,3044.0,188424.692004
168,2015:12:11,10:56:01,1252.0,3035.0,165286.618265
