Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:06,07:00:03,1119.0,3722.0,36304.6335115
1,2015:12:06,07:02:03,1186.0,3650.0,14939.8875348
2,2015:12:06,07:04:03,1181.0,3637.0,19917.7603186
3,2015:12:06,07:06:02,1181.0,3626.0,24955.7224438
4,2015:12:06,07:08:03,1170.0,3624.0,31325.99918
5,2015:12:06,07:10:03,1165.0,3619.0,31502.2241883
6,2015:12:06,07:12:02,1163.0,3622.0,40416.693973
7,2015:12:06,07:14:03,1160.0,3619.0,40494.0940828
8,2015:12:06,07:16:03,1156.0,3611.0,40572.8147936
9,2015:12:06,07:18:03,1159.0,3609.0,50730.6213618
10,2015:12:06,07:20:03,1149.0,3600.0,63542.9394439
11,2015:12:06,07:22:03,1132.0,3583.0,63585.129865
12,2015:12:06,07:24:03,1131.0,3580.0,63593.9022583
13,2015:12:06,07:26:03,1139.0,3596.0,63628.0751289
14,2015:12:06,07:28:03,1140.0,3612.0,63624.0605967
15,2015:12:06,07:30:03,1131.0,3606.0,81488.4215225
16,2015:12:06,07:32:02,1123.0,3593.0,81522.0818716
17,2015:12:06,07:34:03,1122.0,3619.0,127441.979492
18,2015:12:06,07:36:03,1120.0,3597.0,127488.140008
19,2015:12:06,07:38:03,1121.0,3596.0,127489.789513
20,2015:12:06,07:40:03,1123.0,3589.0,127496.557371
21,2015:12:06,07:42:03,1120.0,3596.0,127498.023291
22,2015:12:06,07:44:02,1118.0,3603.0,163195.310409
23,2015:12:06,07:46:03,1120.0,3601.0,163196.888055
24,2015:12:06,07:48:03,1125.0,3605.0,163186.996995
25,2015:12:06,07:50:03,1133.0,3607.0,163174.43425
26,2015:12:06,07:52:04,1131.0,3615.0,163134.912428
27,2015:12:06,07:54:03,1141.0,3618.0,163159.406663
28,2015:12:06,07:56:03,1145.0,3625.0,163127.4781
29,2015:12:06,07:58:03,1163.0,3616.0,163086.597234
30,2015:12:06,08:00:01,1112.0,3693.0,966688.447635
31,2015:12:06,08:02:01,1109.0,3687.0,89206.3434689
32,2015:12:06,08:04:01,1112.0,3676.0,75241.1734333
33,2015:12:06,08:06:01,1113.0,3670.0,80628.3368944
34,2015:12:06,08:08:01,1116.0,3665.0,86143.2885522
35,2015:12:06,08:10:01,1119.0,3660.0,83505.7371933
36,2015:12:06,08:12:01,1121.0,3653.0,108466.738496
37,2015:12:06,08:14:01,1122.0,3647.0,114845.564979
38,2015:12:06,08:16:01,1123.0,3642.0,119722.537937
39,2015:12:06,08:18:01,1123.0,3636.0,115898.166433
40,2015:12:06,08:20:01,1124.0,3631.0,143334.371461
41,2015:12:06,08:22:01,1127.0,3624.0,137333.583684
42,2015:12:06,08:24:01,1128.0,3618.0,140244.247353
43,2015:12:06,08:26:01,1129.0,3611.0,136541.199113
44,2015:12:06,08:28:01,1130.0,3605.0,138520.17773
45,2015:12:06,08:30:01,1134.0,3598.0,135084.612336
46,2015:12:06,08:32:01,1137.0,3587.0,136328.822068
47,2015:12:06,08:34:01,1140.0,3581.0,136734.191294
48,2015:12:06,08:36:01,1142.0,3575.0,139957.882107
49,2015:12:06,08:38:01,1145.0,3568.0,141887.107913
50,2015:12:06,08:40:02,1147.0,3560.0,139729.651145
51,2015:12:06,08:42:01,1146.0,3555.0,139775.604393
52,2015:12:06,08:44:01,1147.0,3550.0,140683.97781
53,2015:12:06,08:46:01,1149.0,3543.0,133767.987145
54,2015:12:06,08:48:01,1151.0,3535.0,138120.058921
55,2015:12:06,08:50:01,1154.0,3528.0,133872.424985
56,2015:12:06,08:52:01,1156.0,3522.0,132814.379056
57,2015:12:06,08:54:01,1160.0,3514.0,131915.432249
58,2015:12:06,08:56:01,1160.0,3505.0,131426.978962
59,2015:12:06,08:58:01,1160.0,3499.0,131782.98885
60,2015:12:06,09:00:01,1160.0,3494.0,132399.799879
61,2015:12:06,09:02:01,1162.0,3486.0,129974.390684
62,2015:12:06,09:04:01,1165.0,3478.0,130413.198562
63,2015:12:06,09:06:01,1168.0,3472.0,128104.134455
64,2015:12:06,09:08:01,1170.0,3467.0,130995.868341
65,2015:12:06,09:10:01,1172.0,3461.0,128343.571408
66,2015:12:06,09:12:01,1173.0,3451.0,158371.631698
67,2015:12:06,09:14:01,1172.0,3442.0,160125.04926
68,2015:12:06,09:16:01,1173.0,3435.0,160397.154082
69,2015:12:06,09:18:01,1174.0,3429.0,158084.350287
70,2015:12:06,09:20:01,1177.0,3421.0,160302.977322
71,2015:12:06,09:22:01,1177.0,3413.0,158573.258453
72,2015:12:06,09:24:01,1180.0,3406.0,159512.841324
