Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:08,07:00:02,1045.0,3693.0,36326.2738304
1,2015:12:08,07:02:02,1119.0,3640.0,15113.5043328
2,2015:12:08,07:04:02,1115.0,3626.0,20132.2774341
3,2015:12:08,07:06:02,1107.0,3620.0,20112.4894953
4,2015:12:08,07:08:03,1127.0,3635.0,25107.1005011
5,2015:12:08,07:10:02,1131.0,3657.0,31427.8731517
6,2015:12:08,07:12:02,1103.0,3690.0,31517.5226517
7,2015:12:08,07:14:02,1108.0,3675.0,31487.3942378
8,2015:12:08,07:16:02,1106.0,3670.0,31460.8650064
9,2015:12:08,07:18:02,1110.0,3671.0,40278.984298
10,2015:12:08,07:20:02,1136.0,3672.0,50499.6080644
11,2015:12:08,07:22:02,1143.0,3674.0,63184.0106305
12,2015:12:08,07:24:02,1144.0,3664.0,63249.0931366
13,2015:12:08,07:26:02,1173.0,3639.0,80538.7901027
14,2015:12:08,07:28:02,1139.0,3656.0,80990.8276885
15,2015:12:08,07:30:02,1132.0,3663.0,81157.9642012
16,2015:12:08,07:32:02,1148.0,3639.0,101179.305889
17,2015:12:08,07:34:02,1113.0,3669.0,126947.727837
18,2015:12:08,07:36:02,1151.0,3613.0,125911.400444
19,2015:12:08,07:38:02,1123.0,3609.0,126339.803398
20,2015:12:08,07:40:02,1111.0,3632.0,126857.812023
21,2015:12:08,07:42:02,1117.0,3625.0,126701.58467
22,2015:12:08,07:44:02,1087.0,3634.0,127059.460631
23,2015:12:08,07:46:02,1065.0,3644.0,127161.563697
24,2015:12:08,07:48:02,1064.0,3641.0,127239.870667
25,2015:12:08,07:50:02,1078.0,3645.0,163029.817378
26,2015:12:08,07:52:02,1079.0,3617.0,162982.454299
27,2015:12:08,07:54:02,1083.0,3611.0,162997.656179
28,2015:12:08,07:56:02,1090.0,3597.0,162987.131054
29,2015:12:08,07:58:02,1119.0,3569.0,162736.960346
30,2015:12:08,08:00:00,1092.0,3701.0,967314.045955
31,2015:12:08,08:02:01,1102.0,3693.0,100174.723271
32,2015:12:08,08:04:01,1103.0,3687.0,98191.49363
33,2015:12:08,08:06:01,1103.0,3680.0,97954.9746678
34,2015:12:08,08:08:01,1106.0,3673.0,98437.5260822
35,2015:12:08,08:10:02,1108.0,3666.0,98136.8943178
36,2015:12:08,08:12:01,1109.0,3659.0,98163.3757156
37,2015:12:08,08:14:01,1112.0,3652.0,145212.236137
38,2015:12:08,08:16:01,1114.0,3644.0,145370.38259
39,2015:12:08,08:18:02,1116.0,3639.0,146181.333861
40,2015:12:08,08:20:01,1119.0,3633.0,146265.046695
41,2015:12:08,08:22:01,1120.0,3626.0,145004.642546
42,2015:12:08,08:24:01,1122.0,3619.0,145566.554427
43,2015:12:08,08:26:01,1122.0,3611.0,144462.178297
44,2015:12:08,08:28:01,1124.0,3605.0,143746.480999
45,2015:12:08,08:30:01,1128.0,3597.0,143726.437664
46,2015:12:08,08:32:01,1133.0,3588.0,145210.698274
47,2015:12:08,08:34:01,1133.0,3581.0,140224.248699
48,2015:12:08,08:36:01,1134.0,3577.0,142093.145179
49,2015:12:08,08:38:01,1136.0,3569.0,141401.595401
50,2015:12:08,08:40:01,1138.0,3561.0,141754.520108
51,2015:12:08,08:42:01,1139.0,3554.0,141370.51005
52,2015:12:08,08:44:01,1138.0,3549.0,139437.615122
53,2015:12:08,08:46:01,1140.0,3543.0,139447.659166
54,2015:12:08,08:48:01,1142.0,3535.0,138252.499605
55,2015:12:08,08:50:01,1145.0,3527.0,133860.14294
56,2015:12:08,08:52:01,1148.0,3521.0,135446.127044
57,2015:12:08,08:54:01,1151.0,3514.0,136686.620517
58,2015:12:08,08:56:01,1154.0,3506.0,137188.430304
59,2015:12:08,08:58:01,1157.0,3498.0,135901.781621
60,2015:12:08,09:00:00,1158.0,3492.0,137294.986411
61,2015:12:08,09:02:01,1159.0,3486.0,138178.556263
62,2015:12:08,09:04:01,1161.0,3479.0,134818.409836
63,2015:12:08,09:06:01,1164.0,3472.0,136450.481812
64,2015:12:08,09:08:01,1167.0,3465.0,135377.021655
65,2015:12:08,09:10:01,1168.0,3459.0,135360.933742
66,2015:12:08,09:12:01,1168.0,3451.0,134482.527993
67,2015:12:08,09:14:01,1168.0,3442.0,135748.662713
68,2015:12:08,09:16:01,1169.0,3436.0,160724.779038
69,2015:12:08,09:18:01,1187.0,3434.0,139865.542553
70,2015:12:08,09:20:01,1183.0,3425.0,136081.163335
71,2015:12:08,09:22:01,1161.0,3405.0,163769.400336
72,2015:12:08,09:24:01,1176.0,3407.0,162245.843911
73,2015:12:08,09:26:01,1164.0,3393.0,130374.840919
74,2015:12:08,09:28:01,1194.0,3356.0,100922.317676
75,2015:12:08,09:30:01,1185.0,3385.0,155552.159733
76,2015:12:08,09:32:01,1181.0,3378.0,162817.439391
77,2015:12:08,09:34:01,1186.0,3371.0,161928.361184
78,2015:12:08,09:36:01,1166.0,3378.0,164870.275022
79,2015:12:08,09:38:01,1179.0,3349.0,174774.999178
80,2015:12:08,09:40:01,1188.0,3348.0,226301.027314
81,2015:12:08,09:42:01,1190.5,3339.5,140573.594969
82,2015:12:08,09:44:01,1193.0,3331.0,227249.53563
83,2015:12:08,09:46:01,1167.0,3354.0,108952.541438
84,2015:12:08,09:48:01,1188.0,3320.0,191106.620031
85,2015:12:08,09:50:01,1198.0,3305.0,230355.611634
86,2015:12:08,09:52:01,1200.0,3297.0,185579.297506
87,2015:12:08,09:54:01,1230.5,3298.0,67181.8386898
88,2015:12:08,09:56:01,1261.0,3299.0,83399.6933422
89,2015:12:08,09:58:00,1206.0,3274.0,195803.257897
90,2015:12:08,10:00:01,1208.0,3267.0,160688.525193
91,2015:12:08,10:00:21,1208.0,3265.0,195557.757011
92,2015:12:08,10:00:41,1208.0,3264.0,190715.951008
93,2015:12:08,10:01:01,1209.0,3262.0,245009.543812
94,2015:12:08,10:01:21,1209.0,3266.0,200274.600236
95,2015:12:08,10:01:41,1206.0,3264.0,204191.529208
96,2015:12:08,10:02:01,1202.0,3265.0,204692.507475
97,2015:12:08,10:02:21,1202.0,3256.0,204030.082956
98,2015:12:08,10:02:43,1205.0,3260.0,196659.745569
99,2015:12:08,10:03:01,1210.0,3260.0,158065.54364
100,2015:12:08,10:03:21,1201.0,3237.0,109624.342507
101,2015:12:08,10:03:41,1229.0,3260.0,112913.468174
102,2015:12:08,10:04:00,1217.0,3266.0,116265.520766
103,2015:12:08,10:04:21,1194.0,3248.0,146516.733916
104,2015:12:08,10:04:40,1190.0,3233.0,104926.578807
105,2015:12:08,10:05:01,1192.0,3204.0,83954.7781867
106,2015:12:08,10:05:21,1180.0,3228.33333333,66608.777632
107,2015:12:08,10:05:41,1168.0,3252.66666667,69809.9042089
108,2015:12:08,10:06:01,1156.0,3277.0,86016.84494
109,2015:12:08,10:06:21,1169.0,3273.0,87675.7311235
110,2015:12:08,10:06:41,1177.0,3263.0,94441.259136
111,2015:12:08,10:07:01,1177.0,3241.0,98382.4244871
112,2015:12:08,10:07:21,1191.0,3264.0,97336.1361191
113,2015:12:08,10:07:42,1182.0,3237.0,95679.725664
114,2015:12:08,10:08:01,1181.0,3246.0,86582.3542382
115,2015:12:08,10:08:21,1166.0,3233.0,83323.2991751
116,2015:12:08,10:08:42,1168.0,3239.0,83268.3699911
117,2015:12:08,10:09:01,1166.0,3232.0,87589.9431929
118,2015:12:08,10:09:21,1146.0,3217.0,85785.284416
119,2015:12:08,10:09:41,1156.71428571,3216.71428571,70085.0009245
120,2015:12:08,10:10:01,1167.42857143,3216.42857143,56334.1663734
121,2015:12:08,10:10:21,1178.14285714,3216.14285714,45387.8897956
122,2015:12:08,10:11:21,1188.85714286,3215.85714286,47734.7838827
123,2015:12:08,10:11:41,1199.57142857,3215.57142857,50489.6678844
124,2015:12:08,10:12:21,1210.28571429,3215.28571429,78729.4616427
125,2015:12:08,10:12:41,1221.0,3215.0,78214.0913209
126,2015:12:08,10:13:01,1230.0,3193.0,80578.0352836
127,2015:12:08,10:13:21,1241.0,3186.0,74724.7253956
128,2015:12:08,10:13:41,1258.0,3204.0,78584.4076427
129,2015:12:08,10:14:01,1254.0,3184.0,80700.33168
130,2015:12:08,10:14:21,1241.0,3221.0,104643.874233
131,2015:12:08,10:14:41,1227.0,3242.0,114359.490376
132,2015:12:08,10:15:01,1218.0,3219.0,134537.629722
133,2015:12:08,10:15:21,1218.0,3211.0,190616.190647
134,2015:12:08,10:15:41,1216.0,3202.0,159145.241536
135,2015:12:08,10:16:01,1215.0,3201.0,195678.422908
136,2015:12:08,10:16:21,1217.0,3199.0,248194.245522
137,2015:12:08,10:16:41,1218.0,3200.0,246646.378859
138,2015:12:08,10:17:00,1216.0,3201.0,200472.604656
139,2015:12:08,10:17:21,1217.0,3194.0,198374.610778
140,2015:12:08,10:17:40,1219.0,3194.0,203467.602392
141,2015:12:08,10:18:01,1219.0,3192.0,200661.697147
142,2015:12:08,10:18:22,1220.0,3191.0,201872.434447
143,2015:12:08,10:18:41,1220.0,3190.0,167073.782449
144,2015:12:08,10:19:01,1220.0,3188.0,202770.190842
145,2015:12:08,10:19:21,1221.0,3187.0,198840.915103
146,2015:12:08,10:19:41,1220.0,3185.0,201663.747389
147,2015:12:08,10:20:01,1220.0,3186.0,163893.127133
148,2015:12:08,10:22:00,1220.0,3178.0,160295.802467
149,2015:12:08,10:24:01,1220.0,3170.0,204706.804372
150,2015:12:08,10:26:01,1223.0,3161.0,87902.18132
151,2015:12:08,10:28:01,1226.0,3152.0,167061.635662
152,2015:12:08,10:30:01,1228.0,3144.0,199050.500411
153,2015:12:08,10:32:01,1229.0,3135.0,198804.670297
154,2015:12:08,10:34:01,1231.0,3125.0,165481.528356
155,2015:12:08,10:36:01,1235.0,3118.0,160027.855629
156,2015:12:08,10:38:01,1234.0,3111.0,194910.595403
157,2015:12:08,10:40:01,1234.0,3102.0,194877.821656
158,2015:12:08,10:42:01,1236.0,3091.0,191496.354783
159,2015:12:08,10:44:01,1238.0,3085.0,245614.611456
160,2015:12:08,10:46:01,1230.0,3066.0,131575.488556
161,2015:12:08,10:48:01,1246.0,3069.0,147756.847682
162,2015:12:08,10:50:00,1257.0,3070.0,111381.397342
163,2015:12:08,10:52:00,1252.0,3048.0,239927.238546
164,2015:12:08,10:54:01,1248.0,3043.0,238604.258091
165,2015:12:08,10:56:01,1246.0,3051.0,150415.622978
166,2015:12:08,10:58:01,1248.0,3026.0,237879.406546
167,2015:12:08,11:00:01,1249.0,3018.0,190853.538756
168,2015:12:08,11:02:00,1251.0,3011.0,239429.828956
169,2015:12:08,11:04:01,1253.0,3003.0,191576.133092
170,2015:12:08,11:06:01,1254.0,2995.0,192062.868292
171,2015:12:08,11:08:01,1255.0,2986.0,233021.054108
172,2015:12:08,11:10:00,1254.0,2978.0,280234.688956
173,2015:12:08,11:12:01,1255.0,2971.0,289437.477418
174,2015:12:08,11:14:01,1257.0,2963.0,293831.742747
175,2015:12:08,11:16:01,1242.0,2952.0,163898.359581
176,2015:12:08,11:18:01,1261.0,2945.0,283437.763093
177,2015:12:08,11:20:01,1226.0,2912.0,90135.7518334
178,2015:12:08,11:22:01,1266.0,2915.0,159916.351561
179,2015:12:08,11:24:00,1259.0,2925.0,171769.7716
180,2015:12:08,11:26:01,1256.0,2909.0,280475.674911
181,2015:12:08,11:28:01,1249.0,2909.0,294980.092564
182,2015:12:08,11:30:01,1257.0,2904.0,247429.211186
183,2015:12:08,11:32:00,1260.0,2893.0,291669.064164
184,2015:12:08,11:34:01,1264.0,2880.0,224429.872256
185,2015:12:08,11:36:01,1259.0,2875.0,222143.840053
186,2015:12:08,11:38:00,1271.0,2869.0,251215.256992
187,2015:12:08,11:40:00,1272.0,2855.0,240923.425529
188,2015:12:08,11:42:01,1280.0,2852.0,248467.317696
189,2015:12:08,11:44:01,1280.0,2845.0,177850.692211
190,2015:12:08,11:46:01,1271.0,2838.0,291540.334827
191,2015:12:08,11:48:00,1262.0,2820.0,201621.981131
192,2015:12:08,11:50:01,1265.5,2813.5,46937.2396972
193,2015:12:08,11:52:01,1269.0,2807.0,288675.315613
194,2015:12:08,11:54:01,1270.0,2802.0,277869.378444
195,2015:12:08,11:56:00,1267.0,2793.0,262868.442204
196,2015:12:08,11:58:00,1269.0,2784.0,278381.429396
197,2015:12:08,12:00:01,1276.0,2773.0,289036.954196
198,2015:12:08,12:00:21,1281.0,2776.0,303134.859547
199,2015:12:08,12:00:41,1283.0,2773.0,296528.411916
200,2015:12:08,12:01:00,1283.0,2779.0,289889.694236
201,2015:12:08,12:01:20,1278.0,2764.0,297601.646178
202,2015:12:08,12:01:40,1282.0,2761.0,308642.774964
203,2015:12:08,12:02:01,1280.0,2766.0,295119.770751
204,2015:12:08,12:02:21,1292.0,2771.0,270628.498356
205,2015:12:08,12:02:41,1287.0,2760.0,302545.220218
206,2015:12:08,12:03:01,1292.0,2764.0,300411.609591
207,2015:12:08,12:03:20,1289.0,2760.0,281857.396204
208,2015:12:08,12:03:40,1285.0,2762.0,284860.313764
209,2015:12:08,12:04:01,1278.0,2760.0,228905.375207
210,2015:12:08,12:04:21,1272.0,2758.0,296200.196373
211,2015:12:08,12:04:41,1273.0,2756.0,292204.384933
212,2015:12:08,12:05:01,1277.0,2753.0,290595.499364
213,2015:12:08,12:05:21,1277.0,2752.0,287160.651142
214,2015:12:08,12:05:41,1277.0,2752.0,288162.952662
215,2015:12:08,12:06:01,1277.0,2750.0,291881.642324
216,2015:12:08,12:06:21,1277.0,2749.0,287709.997044
217,2015:12:08,12:06:41,1280.0,2750.0,289736.631444
218,2015:12:08,12:07:00,1281.0,2746.0,288209.859884
219,2015:12:08,12:07:21,1281.0,2750.0,284084.525151
220,2015:12:08,12:07:41,1289.0,2751.0,269982.657702
221,2015:12:08,12:08:00,1289.0,2741.0,288499.469
222,2015:12:08,12:08:19,1280.0,2742.0,289947.815729
223,2015:12:08,12:08:40,1281.0,2743.0,284225.987876
224,2015:12:08,12:09:01,1280.0,2742.0,278255.213449
225,2015:12:08,12:09:21,1282.0,2742.0,290800.38508
226,2015:12:08,12:09:41,1289.0,2740.0,287483.941933
227,2015:12:08,12:10:01,1284.0,2740.0,286473.329836
228,2015:12:08,12:10:21,1283.0,2736.0,292079.997924
229,2015:12:08,12:10:41,1283.0,2739.0,295038.20636
230,2015:12:08,12:11:01,1287.0,2738.0,274548.747631
231,2015:12:08,12:11:21,1286.0,2732.0,259801.274782
232,2015:12:08,12:11:41,1294.0,2712.0,142891.201669
233,2015:12:08,12:12:01,1304.0,2687.0,135687.955993
234,2015:12:08,12:12:21,1331.0,2766.0,79731.440675
235,2015:12:08,12:12:41,1343.0,2721.0,75199.0469444
236,2015:12:08,12:13:00,1339.86363636,2720.68181818,61116.0786861
237,2015:12:08,12:13:20,1336.72727273,2720.36363636,52305.4654222
238,2015:12:08,12:13:41,1333.59090909,2720.04545455,46121.5885889
239,2015:12:08,12:14:01,1330.45454545,2719.72727273,42918.6880556
240,2015:12:08,12:14:21,1327.31818182,2719.40909091,42880.7377861
241,2015:12:08,12:14:41,1324.18181818,2719.09090909,44551.9001778
242,2015:12:08,12:15:01,1321.04545455,2718.77272727,48465.1387778
243,2015:12:08,12:15:21,1317.90909091,2718.45454545,48762.4399611
244,2015:12:08,12:15:41,1314.77272727,2718.13636364,45095.2214722
245,2015:12:08,12:16:01,1311.63636364,2717.81818182,39433.6854444
246,2015:12:08,12:16:21,1308.5,2717.5,36151.6870028
247,2015:12:08,12:16:41,1305.36363636,2717.18181818,35608.5637111
248,2015:12:08,12:17:20,1302.22727273,2716.86363636,28998.4079555
249,2015:12:08,12:17:40,1299.09090909,2716.54545455,31537.5122533
250,2015:12:08,12:18:00,1295.95454545,2716.22727273,36779.0253978
251,2015:12:08,12:18:21,1292.81818182,2715.90909091,38196.5297378
252,2015:12:08,12:18:40,1289.68181818,2715.59090909,39231.1306156
253,2015:12:08,12:19:01,1286.54545455,2715.27272727,41332.8354356
