Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:10,07:00:02,1164.0,3695.0,46821.6686338
1,2015:12:10,07:02:02,1157.0,3593.0,19817.5246341
2,2015:12:10,07:04:03,1146.0,3578.0,19951.62119
3,2015:12:10,07:06:03,1129.0,3578.0,31085.47797
4,2015:12:10,07:08:02,1138.0,3547.0,31166.6695011
5,2015:12:10,07:10:02,1125.0,3575.0,40035.9187698
6,2015:12:10,07:12:03,1138.0,3586.0,50081.485684
7,2015:12:10,07:14:03,1134.0,3574.0,50249.6830924
8,2015:12:10,07:16:03,1142.0,3563.0,62894.9433461
9,2015:12:10,07:18:02,1145.0,3556.0,62939.0848422
10,2015:12:10,07:20:02,1133.0,3568.0,80570.9835129
11,2015:12:10,07:22:03,1111.0,3609.0,100506.112348
12,2015:12:10,07:24:02,1118.0,3597.0,100782.095466
13,2015:12:10,07:26:03,1118.0,3600.0,100872.978432
14,2015:12:10,07:28:02,1121.0,3606.0,125990.289676
15,2015:12:10,07:30:02,1144.0,3615.0,125772.19266
16,2015:12:10,07:32:02,1132.0,3606.0,101014.214922
17,2015:12:10,07:34:02,1134.0,3593.0,101043.070436
18,2015:12:10,07:36:02,1137.0,3593.0,101288.136592
19,2015:12:10,07:38:02,1138.0,3586.0,126908.731972
20,2015:12:10,07:40:02,1138.0,3590.0,126938.373324
21,2015:12:10,07:42:03,1141.0,3593.0,126922.475447
22,2015:12:10,07:44:03,1137.0,3595.0,162270.044341
23,2015:12:10,07:46:03,1138.0,3590.0,162111.002278
24,2015:12:10,07:48:03,1140.0,3589.0,162037.289875
25,2015:12:10,07:50:03,1135.0,3582.0,161950.008117
26,2015:12:10,07:52:03,1128.0,3557.0,126618.906596
27,2015:12:10,07:54:02,1121.0,3533.0,126741.611173
28,2015:12:10,07:56:02,1121.0,3518.0,127049.154631
29,2015:12:10,07:58:02,1118.0,3512.0,162750.925636
30,2015:12:10,08:00:01,1096.0,3696.0,908055.520053
31,2015:12:10,08:02:02,1096.0,3691.0,106380.242641
32,2015:12:10,08:04:01,1098.0,3685.0,105091.869387
33,2015:12:10,08:06:01,1099.0,3677.0,108470.968073
34,2015:12:10,08:08:01,1100.0,3671.0,137569.953365
35,2015:12:10,08:10:01,1103.0,3665.0,137318.931095
36,2015:12:10,08:12:02,1107.0,3659.0,137937.738823
37,2015:12:10,08:14:01,1110.0,3654.0,138592.392722
38,2015:12:10,08:16:02,1111.0,3646.0,138164.326743
39,2015:12:10,08:18:02,1113.0,3640.0,137313.380738
40,2015:12:10,08:20:01,1114.0,3635.0,140153.334404
41,2015:12:10,08:22:01,1118.0,3629.0,139985.332361
42,2015:12:10,08:24:01,1118.0,3623.0,138491.266244
43,2015:12:10,08:26:01,1119.0,3614.0,131303.200836
44,2015:12:10,08:28:01,1124.0,3606.0,134586.403586
45,2015:12:10,08:30:01,1126.0,3599.0,134658.016469
46,2015:12:10,08:32:01,1128.0,3592.0,135047.030494
47,2015:12:10,08:34:01,1128.0,3585.0,129018.782044
48,2015:12:10,08:36:01,1130.0,3577.0,128934.887385
49,2015:12:10,08:38:01,1131.0,3571.0,129084.629413
50,2015:12:10,08:40:02,1132.0,3563.0,129114.174407
51,2015:12:10,08:42:01,1134.0,3556.0,130123.319941
52,2015:12:10,08:44:01,1136.0,3551.0,127282.5216
53,2015:12:10,08:46:02,1137.0,3546.0,128790.646391
54,2015:12:10,08:48:01,1140.0,3539.0,129766.845902
55,2015:12:10,08:50:01,1141.0,3531.0,157576.927402
56,2015:12:10,08:52:02,1144.0,3524.0,154294.259789
57,2015:12:10,08:54:02,1145.0,3518.0,126980.234311
58,2015:12:10,08:56:01,1148.0,3507.0,125438.930836
59,2015:12:10,08:58:01,1151.0,3499.0,124791.451833
60,2015:12:10,09:00:01,1152.0,3495.0,126947.9873
61,2015:12:10,09:02:02,1152.0,3490.0,153949.662609
62,2015:12:10,09:04:01,1154.0,3481.0,157242.076836
63,2015:12:10,09:06:02,1158.0,3474.0,155184.199247
64,2015:12:10,09:08:01,1160.0,3467.0,155647.139784
65,2015:12:10,09:10:01,1163.0,3460.0,154459.157262
66,2015:12:10,09:12:02,1163.0,3453.0,153002.260191
67,2015:12:10,09:14:01,1166.0,3445.0,131476.166027
68,2015:12:10,09:16:02,1165.0,3438.0,157954.869436
69,2015:12:10,09:18:01,1165.0,3432.0,158496.336367
70,2015:12:10,09:20:01,1169.0,3424.0,129643.113627
71,2015:12:10,09:22:01,1171.0,3416.0,130254.128427
72,2015:12:10,09:24:01,1171.0,3410.0,130136.03507
73,2015:12:10,09:26:01,1174.0,3403.0,127215.824935
74,2015:12:10,09:28:01,1177.0,3394.0,127753.243927
75,2015:12:10,09:30:01,1178.0,3386.0,154120.348276
76,2015:12:10,09:32:01,1178.0,3379.0,129097.391099
77,2015:12:10,09:34:01,1181.0,3371.0,157208.351656
