Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:05,07:00:02,1102.0,3697.0,36827.5458311
1,2015:12:05,07:02:02,1151.0,3630.0,15078.093688
2,2015:12:05,07:04:03,1141.0,3622.0,20087.4877808
3,2015:12:05,07:06:03,1131.0,3619.0,25123.3076938
4,2015:12:05,07:08:03,1123.0,3616.0,31395.3862372
5,2015:12:05,07:10:03,1113.0,3619.0,31362.1293994
6,2015:12:05,07:12:03,1114.0,3613.0,40231.6070414
7,2015:12:05,07:14:02,1118.0,3607.0,40291.7687506
8,2015:12:05,07:16:03,1116.0,3617.0,50356.86352
9,2015:12:05,07:18:03,1122.0,3612.0,50396.3841822
10,2015:12:05,07:20:03,1133.0,3607.0,63122.1107333
11,2015:12:05,07:22:03,1139.0,3614.0,63120.3920228
12,2015:12:05,07:24:02,1139.0,3611.0,81029.0010503
13,2015:12:05,07:26:02,1139.0,3606.0,81169.1436515
14,2015:12:05,07:28:03,1135.0,3607.0,81163.9560014
15,2015:12:05,07:30:03,1136.0,3610.0,101523.864564
16,2015:12:05,07:32:02,1116.0,3634.0,126672.846328
17,2015:12:05,07:34:03,1128.0,3612.0,126993.929062
18,2015:12:05,07:36:02,1122.0,3613.0,127027.070732
19,2015:12:05,07:38:02,1119.0,3612.0,127126.506231
20,2015:12:05,07:40:03,1116.0,3613.0,127178.488471
21,2015:12:05,07:42:02,1112.0,3621.0,162847.852673
22,2015:12:05,07:44:03,1113.0,3613.0,162961.103111
23,2015:12:05,07:46:02,1109.0,3620.0,162929.028346
24,2015:12:05,07:48:02,1118.0,3601.0,163041.352872
25,2015:12:05,07:50:03,1119.0,3599.0,163051.38009
26,2015:12:05,07:52:03,1113.0,3603.0,163079.15777
27,2015:12:05,07:54:03,1112.0,3597.0,163101.124521
28,2015:12:05,07:56:02,1129.0,3575.0,163080.341535
29,2015:12:05,07:58:02,1114.0,3586.0,163106.305729
30,2015:12:05,08:00:01,1107.0,3700.0,954135.597662
