Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:12,07:00:03,1082.0,3614.0,28563.7409297
1,2015:12:12,07:02:02,1072.0,3584.0,14880.4423844
2,2015:12:12,07:04:02,1082.0,3598.0,14898.4260413
3,2015:12:12,07:06:03,1108.0,3599.0,19947.9934572
4,2015:12:12,07:08:03,1117.0,3611.0,24820.6776056
5,2015:12:12,07:10:03,1122.0,3620.0,31489.3463308
6,2015:12:12,07:12:03,1113.0,3636.0,40379.8190037
7,2015:12:12,07:14:03,1114.0,3625.0,40533.2359516
8,2015:12:12,07:16:03,1113.0,3624.0,50734.7741484
9,2015:12:12,07:18:03,1115.0,3623.0,63519.256465
10,2015:12:12,07:20:02,1118.0,3615.0,63619.3269872
11,2015:12:12,07:22:02,1119.0,3610.0,63666.1155089
12,2015:12:12,07:24:02,1119.0,3608.0,81519.1885575
13,2015:12:12,07:26:02,1119.0,3608.0,81527.3016476
14,2015:12:12,07:28:03,1122.0,3612.0,81552.2561927
15,2015:12:12,07:30:02,1121.0,3630.0,127368.712168
16,2015:12:12,07:32:03,1119.0,3622.0,127412.206786
17,2015:12:12,07:34:03,1122.0,3615.0,127458.179036
18,2015:12:12,07:36:03,1129.0,3617.0,127478.899537
19,2015:12:12,07:38:02,1132.0,3618.0,127475.45568
20,2015:12:12,07:40:02,1135.0,3614.0,127489.029969
21,2015:12:12,07:42:02,1142.0,3619.0,163174.635499
22,2015:12:12,07:44:03,1147.0,3621.0,163174.024511
23,2015:12:12,07:46:02,1160.0,3595.0,127486.054843
24,2015:12:12,07:48:03,1166.0,3600.0,163182.486067
25,2015:12:12,07:50:03,1163.0,3614.0,163192.008388
26,2015:12:12,07:52:02,1181.0,3586.0,163133.267968
27,2015:12:12,07:54:02,1187.0,3567.0,163060.325257
28,2015:12:12,07:56:02,1187.0,3557.0,163044.731689
29,2015:12:12,07:58:02,1188.0,3548.0,163045.576903
30,2015:12:12,08:00:01,1122.0,3621.0,1009790.62509
31,2015:12:12,08:02:01,1119.0,3620.0,108993.567202
32,2015:12:12,08:04:01,1127.0,3614.0,107332.099369
33,2015:12:12,08:06:01,1129.0,3606.0,107174.845447
34,2015:12:12,08:08:00,1130.0,3598.0,106462.461698
35,2015:12:12,08:10:00,1128.0,3592.0,131877.420983
36,2015:12:12,08:12:01,1129.0,3587.0,132440.597072
37,2015:12:12,08:14:01,1131.0,3586.0,131737.633971
38,2015:12:12,08:16:00,1124.0,3583.0,130280.110309
39,2015:12:12,08:18:01,1115.0,3576.0,127863.276123
40,2015:12:12,08:20:01,1114.0,3571.0,125432.030174
41,2015:12:12,08:22:01,1111.0,3576.0,119791.764497
42,2015:12:12,08:24:01,1122.0,3587.0,118197.053973
43,2015:12:12,08:26:01,1121.0,3594.0,113779.422057
44,2015:12:12,08:28:00,1123.0,3597.0,112085.21305
45,2015:12:12,08:30:01,1126.0,3599.0,115170.681796
46,2015:12:12,08:32:00,1125.0,3594.0,115887.107975
47,2015:12:12,08:34:01,1124.0,3587.0,141885.684055
48,2015:12:12,08:36:01,1122.0,3583.0,133424.888821
49,2015:12:12,08:38:00,1127.0,3572.0,139385.458494
50,2015:12:12,08:40:01,1130.0,3565.0,131930.30542
51,2015:12:12,08:42:01,1133.0,3558.0,130708.523532
52,2015:12:12,08:44:00,1135.0,3551.0,134413.537237
53,2015:12:12,08:46:00,1136.0,3545.0,134645.641909
54,2015:12:12,08:48:01,1139.0,3538.0,132646.023703
55,2015:12:12,08:50:01,1141.0,3530.0,136158.115063
56,2015:12:12,08:52:01,1141.0,3522.0,159480.246411
57,2015:12:12,08:54:01,1143.0,3516.0,136929.383641
58,2015:12:12,08:56:01,1146.0,3509.0,164768.941589
59,2015:12:12,08:58:01,1149.0,3500.0,164640.795518
60,2015:12:12,09:00:01,1151.0,3494.0,137779.796763
61,2015:12:12,09:02:01,1151.0,3491.0,166527.089096
62,2015:12:12,09:04:01,1150.0,3483.0,153291.975671
63,2015:12:12,09:06:01,1153.0,3475.0,158589.377087
64,2015:12:12,09:08:01,1156.0,3470.0,163182.960618
65,2015:12:12,09:10:00,1159.0,3463.0,168657.111907
66,2015:12:12,09:12:04,1160.0,3454.0,153387.185707
67,2015:12:12,09:14:01,1160.0,3447.0,153312.813867
68,2015:12:12,09:16:01,1161.0,3439.0,156759.655944
69,2015:12:12,09:18:01,1161.0,3435.0,159650.970318
70,2015:12:12,09:20:01,1162.0,3433.0,172942.8323
71,2015:12:12,09:22:04,1166.0,3427.0,140605.234468
72,2015:12:12,09:24:00,1165.0,3419.0,126927.838754
73,2015:12:12,09:26:00,1166.0,3402.0,127772.491218
74,2015:12:12,09:28:01,1171.0,3392.0,136055.458126
75,2015:12:12,09:30:01,1176.0,3384.0,144151.786992
76,2015:12:12,09:32:00,1188.0,3378.0,173809.655578
77,2015:12:12,09:34:01,1186.0,3374.0,170961.108304
78,2015:12:12,09:36:01,1178.0,3360.0,156815.139776
79,2015:12:12,09:38:01,1185.0,3356.0,167690.751724
80,2015:12:12,09:40:01,1185.0,3349.0,149806.541611
81,2015:12:12,09:42:01,1197.0,3340.0,163383.63208
82,2015:12:12,09:44:00,1199.0,3334.0,204390.554156
83,2015:12:12,09:46:01,1200.0,3335.0,199536.420989
84,2015:12:12,09:48:01,1202.0,3316.0,190921.397428
85,2015:12:12,09:50:00,1202.0,3312.0,190066.715008
86,2015:12:12,09:52:00,1206.0,3297.0,189427.1497
87,2015:12:12,09:54:01,1195.0,3279.0,243043.496736
88,2015:12:12,09:56:00,1195.0,3283.0,227072.395986
89,2015:12:12,09:58:01,1197.0,3277.0,177497.281147
90,2015:12:12,10:00:01,1199.0,3269.0,173164.225086
91,2015:12:12,10:00:21,1199.0,3267.0,171147.010144
92,2015:12:12,10:00:41,1200.0,3266.0,170169.439508
93,2015:12:12,10:01:01,1199.0,3265.0,169802.978303
94,2015:12:12,10:01:21,1200.0,3263.0,171569.897083
95,2015:12:12,10:01:41,1201.0,3262.0,172932.748706
96,2015:12:12,10:02:01,1201.0,3261.0,170768.607314
97,2015:12:12,10:02:21,1202.0,3259.0,174362.385592
98,2015:12:12,10:02:41,1203.0,3258.0,176689.018381
99,2015:12:12,10:03:00,1203.0,3257.0,177582.148761
100,2015:12:12,10:03:20,1203.0,3255.0,174434.580261
101,2015:12:12,10:03:40,1202.0,3256.0,177938.649375
102,2015:12:12,10:03:59,1202.0,3256.0,178011.808761
103,2015:12:12,10:04:19,1200.0,3256.0,177268.778897
104,2015:12:12,10:04:39,1199.0,3255.0,176039.667283
105,2015:12:12,10:05:01,1199.0,3253.0,143108.474713
106,2015:12:12,10:05:21,1199.0,3251.0,148543.33468
107,2015:12:12,10:05:41,1199.0,3249.0,146779.841049
108,2015:12:12,10:06:01,1200.0,3246.0,147227.817969
109,2015:12:12,10:06:21,1202.0,3245.0,148247.928887
110,2015:12:12,10:06:41,1202.0,3244.0,147210.79632
111,2015:12:12,10:07:00,1203.0,3243.0,147494.964036
112,2015:12:12,10:07:20,1203.0,3241.0,148023.242047
113,2015:12:12,10:07:40,1204.0,3240.0,148634.046071
114,2015:12:12,10:08:00,1204.0,3239.0,171342.165206
115,2015:12:12,10:08:20,1204.0,3237.0,170214.329483
116,2015:12:12,10:08:40,1205.0,3236.0,170807.669147
117,2015:12:12,10:09:00,1204.0,3235.0,170203.431789
118,2015:12:12,10:09:20,1204.0,3233.0,168761.720794
119,2015:12:12,10:09:40,1204.0,3232.0,174552.747461
120,2015:12:12,10:10:01,1204.0,3230.0,174355.626617
121,2015:12:12,10:10:21,1204.0,3228.0,172844.274175
122,2015:12:12,10:10:41,1204.0,3227.0,170598.591567
123,2015:12:12,10:11:00,1204.0,3225.0,174924.890094
124,2015:12:12,10:11:20,1205.0,3224.0,169813.147603
125,2015:12:12,10:11:40,1205.0,3223.0,168920.720525
126,2015:12:12,10:12:00,1207.0,3221.0,176455.645508
127,2015:12:12,10:12:20,1207.0,3220.0,174787.271381
128,2015:12:12,10:12:40,1208.0,3218.0,172143.424569
129,2015:12:12,10:13:01,1208.0,3218.0,170119.763986
130,2015:12:12,10:13:21,1208.0,3216.0,168204.243119
131,2015:12:12,10:13:41,1208.0,3215.0,169818.654278
132,2015:12:12,10:14:00,1208.0,3214.0,174187.902475
133,2015:12:12,10:14:20,1209.0,3213.0,176406.240628
134,2015:12:12,10:14:40,1208.0,3211.0,172309.528953
135,2015:12:12,10:15:01,1209.0,3209.0,177886.979583
136,2015:12:12,10:15:21,1210.0,3208.0,177557.5213
137,2015:12:12,10:15:41,1209.0,3207.0,171930.364667
138,2015:12:12,10:16:01,1209.0,3207.0,148998.780429
139,2015:12:12,10:16:21,1209.0,3206.0,144443.703644
140,2015:12:12,10:16:41,1209.0,3205.0,145884.206936
141,2015:12:12,10:17:01,1209.0,3204.0,146942.987018
142,2015:12:12,10:17:21,1210.0,3203.0,145204.341787
143,2015:12:12,10:17:41,1209.0,3202.0,172037.543478
144,2015:12:12,10:18:00,1210.0,3201.0,145964.531231
145,2015:12:12,10:18:20,1210.0,3200.0,146289.922587
146,2015:12:12,10:18:40,1210.0,3199.0,178917.014997
147,2015:12:12,10:19:00,1210.0,3198.0,148048.495169
148,2015:12:12,10:19:20,1210.0,3197.0,150292.836284
149,2015:12:12,10:19:40,1210.0,3196.0,150305.214802
150,2015:12:12,10:20:00,1211.0,3195.0,152563.492422
151,2015:12:12,10:22:01,1209.0,3188.0,149652.471744
152,2015:12:12,10:24:01,1213.0,3179.0,150887.765067
153,2015:12:12,10:26:01,1214.0,3171.0,149757.610207
154,2015:12:12,10:28:00,1217.0,3162.0,150002.387896
155,2015:12:12,10:30:01,1217.0,3152.0,173546.581794
156,2015:12:12,10:32:01,1218.0,3145.0,153245.813051
157,2015:12:12,10:34:01,1212.0,3151.0,165443.396051
158,2015:12:12,10:36:01,1219.0,3127.0,147186.524893
159,2015:12:12,10:38:00,1219.0,3115.0,167184.729211
160,2015:12:12,10:40:00,1229.0,3067.0,100265.559282
161,2015:12:12,10:42:00,1224.0,3099.0,145196.938573
162,2015:12:12,10:44:00,1220.0,3086.0,167418.720292
163,2015:12:12,10:46:01,1222.0,3077.0,171542.889864
164,2015:12:12,10:48:01,1230.0,3068.0,166637.963603
165,2015:12:12,10:50:01,1228.0,3059.0,168106.579497
166,2015:12:12,10:52:00,1227.0,3048.0,169480.555692
167,2015:12:12,10:54:01,1228.0,3038.0,163843.333372
168,2015:12:12,10:56:01,1231.0,3031.0,210902.908359
169,2015:12:12,10:58:01,1233.0,3024.0,212531.182091
170,2015:12:12,11:00:00,1227.0,3028.0,189374.891642
171,2015:12:12,11:02:01,1231.0,3015.0,150141.268842
172,2015:12:12,11:04:01,1234.0,3006.0,229055.80106
173,2015:12:12,11:06:01,1239.0,3005.0,230299.229273
174,2015:12:12,11:08:00,1248.0,2983.0,177743.271806
175,2015:12:12,11:10:00,1246.0,2991.0,248526.057966
176,2015:12:12,11:12:01,1247.0,2978.0,175104.444231
177,2015:12:12,11:14:01,1243.0,2959.0,155784.149978
178,2015:12:12,11:16:01,1238.0,2959.0,252753.805538
179,2015:12:12,11:18:00,1239.0,2952.0,224495.226187
180,2015:12:12,11:20:01,1241.0,2947.0,244996.098733
181,2015:12:12,11:22:00,1250.0,2941.0,257667.300502
182,2015:12:12,11:24:01,1249.0,2921.0,291555.374289
183,2015:12:12,11:26:01,1252.0,2924.0,286650.895982
184,2015:12:12,11:28:01,1259.0,2914.0,301756.604236
185,2015:12:12,11:30:01,1285.0,2867.0,143637.389188
186,2015:12:12,11:32:00,1279.0,2889.0,218063.0505
187,2015:12:12,11:34:00,1261.0,2890.0,301459.381164
188,2015:12:12,11:36:00,1265.0,2882.0,297113.613844
189,2015:12:12,11:38:01,1264.0,2875.0,305624.086476
190,2015:12:12,11:40:00,1237.0,2911.0,117807.903081
191,2015:12:12,11:42:00,1293.0,2869.0,123668.850581
192,2015:12:12,11:44:01,1268.0,2850.0,284907.1118
193,2015:12:12,11:46:01,1268.0,2844.0,313891.029462
194,2015:12:12,11:48:00,1264.0,2832.0,292534.486373
195,2015:12:12,11:50:00,1267.0,2822.0,275777.002489
196,2015:12:12,11:52:01,1265.0,2819.0,275124.45876
197,2015:12:12,11:54:01,1269.0,2806.0,313120.730084
198,2015:12:12,11:56:01,1304.0,2795.0,150364.336981
199,2015:12:12,11:58:00,1267.0,2792.0,285809.981622
200,2015:12:12,12:00:00,1261.0,2781.0,246158.6588
201,2015:12:12,12:00:20,1258.0,2780.0,255842.255093
202,2015:12:12,12:00:40,1263.0,2782.0,261390.238129
203,2015:12:12,12:01:01,1258.0,2780.0,256369.126138
204,2015:12:12,12:01:21,1265.0,2778.0,252413.746222
205,2015:12:12,12:01:41,1261.0,2774.0,236337.579849
206,2015:12:12,12:02:01,1261.0,2754.0,104585.14205
207,2015:12:12,12:02:21,1262.0,2777.0,100496.158564
208,2015:12:12,12:02:41,1234.0,2772.0,102881.284042
209,2015:12:12,12:03:00,1310.0,2782.0,117780.208064
210,2015:12:12,12:03:20,1266.0,2769.0,258646.851996
211,2015:12:12,12:03:40,1248.0,2751.0,130597.163956
212,2015:12:12,12:04:01,1323.0,2735.0,116923.529672
213,2015:12:12,12:04:21,1301.0,2722.0,115499.18805
214,2015:12:12,12:04:41,1302.0,2797.0,113090.302486
215,2015:12:12,12:05:01,1283.0,2791.0,125697.326928
216,2015:12:12,12:05:21,1258.0,2784.0,127379.989172
217,2015:12:12,12:05:41,1246.0,2750.0,122781.492606
218,2015:12:12,12:06:01,1257.0,2733.0,112188.903975
219,2015:12:12,12:06:21,1289.0,2821.0,99386.9227972
220,2015:12:12,12:06:41,1293.14285714,2809.0,85822.8700972
221,2015:12:12,12:07:00,1297.28571429,2797.0,71285.765
222,2015:12:12,12:07:20,1301.42857143,2785.0,57823.1652333
223,2015:12:12,12:07:40,1305.57142857,2773.0,54665.8462583
224,2015:12:12,12:08:00,1309.71428571,2761.0,70183.4264083
225,2015:12:12,12:08:20,1313.85714286,2749.0,90720.5784667
226,2015:12:12,12:08:40,1318.0,2737.0,118875.806469
227,2015:12:12,12:09:01,1301.0,2746.0,141617.830156
228,2015:12:12,12:09:21,1286.0,2742.0,192062.801159
229,2015:12:12,12:09:41,1280.0,2736.0,209665.84576
230,2015:12:12,12:10:00,1275.0,2735.0,287288.00484
231,2015:12:12,12:10:20,1278.0,2736.0,286147.506022
232,2015:12:12,12:10:40,1279.0,2734.0,278775.906898
233,2015:12:12,12:11:00,1282.0,2732.0,276858.802111
234,2015:12:12,12:11:20,1281.0,2729.0,273170.841249
235,2015:12:12,12:11:40,1276.0,2729.0,278782.270093
236,2015:12:12,12:12:01,1271.0,2734.0,284740.549031
237,2015:12:12,12:12:21,1269.0,2741.0,280786.119364
238,2015:12:12,12:12:41,1267.0,2743.0,272907.342667
239,2015:12:12,12:13:01,1263.0,2737.0,274114.154156
240,2015:12:12,12:13:21,1266.0,2738.0,276782.998711
241,2015:12:12,12:13:41,1272.0,2735.0,273553.666347
242,2015:12:12,12:14:00,1272.0,2733.0,277568.257916
243,2015:12:12,12:14:20,1273.0,2729.0,274542.913316
244,2015:12:12,12:14:40,1275.0,2727.0,280314.162644
245,2015:12:12,12:15:01,1279.0,2723.0,283070.885213
246,2015:12:12,12:15:21,1281.0,2720.0,279855.198098
247,2015:12:12,12:15:41,1280.0,2718.0,280937.207791
248,2015:12:12,12:16:01,1282.0,2719.0,279432.391476
249,2015:12:12,12:16:21,1279.0,2715.0,275643.396942
250,2015:12:12,12:16:41,1277.0,2713.0,262691.775324
251,2015:12:12,12:17:00,1273.0,2710.0,258671.8952
