Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:02,07:00:03,859.0,3435.0,33972.9121643
1,2015:12:02,07:02:03,965.0,3417.0,13955.5468712
2,2015:12:02,07:04:03,991.0,3422.0,14262.4788984
3,2015:12:02,07:06:03,1026.0,3414.0,19242.4597367
4,2015:12:02,07:08:03,1062.0,3424.0,19234.2394658
5,2015:12:02,07:10:03,1080.0,3433.0,24144.0391707
6,2015:12:02,07:12:03,1112.0,3452.0,30219.1292803
7,2015:12:02,07:14:03,1130.0,3483.0,30305.4100883
8,2015:12:02,07:16:03,1183.0,3491.0,38870.5358628
9,2015:12:02,07:18:03,1230.0,3471.0,38448.9339694
10,2015:12:02,07:20:03,1280.0,3497.0,47669.2870435
11,2015:12:02,07:22:03,1400.0,3588.0,46365.7221467
12,2015:12:02,07:24:03,1486.0,3596.0,44794.7148929
13,2015:12:02,07:26:03,881.0,3692.0,32961.0436506
14,2015:12:02,07:28:03,861.0,3679.0,32068.3309889
15,2015:12:02,07:30:03,839.0,3627.0,35577.5535606
16,2015:12:02,07:32:03,1044.0,3305.0,60647.9571307
17,2015:12:02,07:34:03,1417.0,3523.0,68853.0065237
18,2015:12:02,07:36:03,1026.0,3433.0,67200.2054144
19,2015:12:02,07:38:03,931.0,3395.0,84202.1544391
20,2015:12:02,07:40:03,834.0,3450.0,77123.1762924
21,2015:12:02,07:42:03,1047.0,3707.0,83648.1062067
22,2015:12:02,07:44:03,1036.0,3582.0,97909.6664678
23,2015:12:02,07:46:03,973.0,3489.0,99488.8208478
24,2015:12:02,07:48:03,995.0,3430.0,104885.773947
25,2015:12:02,07:50:03,964.0,3442.0,141527.577647
26,2015:12:02,07:52:03,963.0,3368.0,115074.195573
27,2015:12:02,07:54:03,948.0,3349.0,117573.249181
28,2015:12:02,07:56:04,996.0,3380.0,153633.397326
29,2015:12:02,07:58:03,1021.0,3353.0,155785.195988
30,2015:12:02,08:00:01,1171.0,3700.0,513907.277182
31,2015:12:02,08:02:01,1176.0,3707.0,58945.0301707
32,2015:12:02,08:04:01,1148.0,3700.0,61884.5248107
33,2015:12:02,08:06:01,1144.0,3678.0,66963.3836036
34,2015:12:02,08:08:01,1126.0,3662.0,66699.7708871
35,2015:12:02,08:10:01,1097.0,3623.0,64801.6186524
36,2015:12:02,08:12:01,1138.0,3655.0,74354.9155964
37,2015:12:02,08:14:01,1144.0,3655.0,83630.6471133
38,2015:12:02,08:16:01,1143.0,3646.0,90313.2539911
39,2015:12:02,08:18:02,1151.0,3632.0,93857.986816
40,2015:12:02,08:20:02,1139.0,3625.0,148028.653411
41,2015:12:02,08:22:01,1136.0,3619.0,161264.279158
42,2015:12:02,08:24:01,1139.0,3607.0,163770.020329
43,2015:12:02,08:26:01,1141.0,3603.0,153762.020736
44,2015:12:02,08:28:01,1143.0,3599.0,123412.830603
45,2015:12:02,08:30:01,1148.0,3591.0,150581.288467
46,2015:12:02,08:32:01,1149.0,3584.0,128989.988363
47,2015:12:02,08:34:01,1152.0,3573.0,127357.544279
48,2015:12:02,08:36:01,1148.0,3569.0,125109.124443
49,2015:12:02,08:38:02,1152.0,3570.0,116342.21256
50,2015:12:02,08:40:02,1154.0,3559.0,118304.941232
51,2015:12:02,08:42:01,1159.0,3546.0,113637.214091
52,2015:12:02,08:44:02,1162.0,3533.0,111460.859115
53,2015:12:02,08:46:01,1162.0,3518.0,109290.189858
54,2015:12:02,08:48:01,1163.0,3508.0,109408.040686
55,2015:12:02,08:50:01,1165.0,3506.0,113999.539436
56,2015:12:02,08:52:01,1170.0,3504.0,119425.710763
57,2015:12:02,08:54:01,1167.0,3495.0,118522.043522
58,2015:12:02,08:56:02,1161.0,3485.0,110430.06965
59,2015:12:02,08:58:02,1156.0,3476.0,110979.433573
60,2015:12:02,09:00:02,1166.0,3475.0,120171.730073
61,2015:12:02,09:02:01,1174.0,3478.0,126321.993902
62,2015:12:02,09:04:00,1177.0,3474.0,128193.410133
63,2015:12:02,09:06:01,1178.0,3470.0,160128.5696
